,origin,bar_name,cocoa_%,ingredients,review,rating
266,Dominican Republic,Puerto Plata,75.0,"2- B,S","chalky, strong, harsh smoke",3.0
267,Dominican Republic,Puerto Plata,65.0,"2- B,S","intense marshmallow, cocoa",3.5
268,Madagascar,Sambirano,75.0,"2- B,S","rustic, red berry, woody",3.25
269,Madagascar,Sambirano,65.0,"2- B,S",chocolate covered cherries,3.5
270,Indonesia,"Bali, Singaraja",75.0,"2- B,S","dry, cardamom, medicinal",3.25
271,Blend,"2009 Hapa Nibby, Dominican Rep., Bali",70.0,"2- B,S","robust, cocoa, fruity",3.75
272,Indonesia,"Bali, Singaraja",65.0,"2- B,S","pastey, off spicey, nutty",2.75
273,Madagascar,"Sambirano, 2009",70.0,"2- B,S","red berry, strong wine, sour",3.0
274,Venezuela,"Ocumare, prototype",78.0,"2- B,S","nutty, mild bitter",3.0
275,Ghana,Ghana,72.0,"3- B,S,C","roasted nuts, rich, roasty",3.5
276,Haiti,Haiti,70.0,"2- B,S","floral, molasses, chemical",3.0
277,Guatemala,Guatemala,70.0,"2- B,S","molasses, earthy, spicy",3.0
278,Dominican Republic,Dominican Republic,70.0,"2- B,S","sweet, sour milk",3.25
279,Belize,Belize,70.0,"2- B,S","off, rubbery, burnt molasses",2.75
280,Dominican Republic,La Red,70.0,"3- B,S,C","unrefined, fruity",2.75
281,Venezuela,Carenero Superior,70.0,"3- B,S,C","sweet grass, muted spice",2.75
282,Nicaragua,Matiguas,70.0,"3- B,S,C","rich, leather, woodsy",3.0
283,Dominican Republic,"Cocoa Nibs, Hispaniola w/ nibs",70.0,"4- B,S,C,L","bright fruit, crisp nibs, cocoa",3.75
284,Jamaica,Blue Mountain Region,70.0,"4- B,S,C,L","fatty, nutty",2.75
285,Colombia,"Sierra Nevada, batch 92",72.0,"3- B,S,C","burnt caramel, cocoa, floral",3.25
286,Belize,"Maya Mountain, batch 98",72.0,"3- B,S,C",honey with subtle tobacco,3.25
287,Blend,Organic Dark,72.0,"4- B,S,C,V","oily, flat, woody, sour",2.75
288,Congo,"Congo, Grand Cru",82.0,"4- B,S,C,V","complex, fruity, mild bitter",3.5
289,Guatemala,Guatemala,70.0,"3- B,S,C","chewy, complex,black pepper",3.5
290,Madagascar,Madagascar,70.0,"3- B,S,C","gritty, tart red berry,powerful",3.75
291,Madagascar,"Akesson's E., Sambirano V.",82.0,"2- B,S","sandy, tart, sour, sweet",3.5
292,Guatemala,Lachua,75.0,"2- B,S","roasty, coffee, earthy",2.75
293,Tanzania,Kokoa Kamili,75.0,"2- B,S","bready, melon",3.5
294,Dominican Republic,Zorzal Reserva,75.0,"2- B,S","astringent, sour, coffee",3.0
295,Belize,Maya Mtn,70.0,"3- B,S,C",pungent off flavor,2.75
296,Malaysia,"Keningau, Borneo Island",68.0,"2- B,S","sweet, dirty, off notes",2.5
297,Malaysia,"Kota Marudu, Borneo Island",72.0,"2- B,S","sweet, fruit, chemical off note",2.75
298,Malaysia,"Tawau, Borneo Island",74.0,"2- B,S","grassy, savory, sour",3.25
299,Blend,"Carribean, Trinite",75.0,"3- B,S,C","spice, woodsy, long lasting",3.75
