,REF,bar_name,company,cocoa_%,ingredients,rating
333,2096,"Wild Bolivia, Sucre",Brasstown,70.0,"3- B,S,C",4.0
334,2194,Ucayali,Brasstown,70.0,"3- B,S,C",3.75
335,2254,Esmeraldas,Brasstown,75.0,"3- B,S,C",3.5
336,2542,Kokoa Kamili,Brasstown,62.0,"3- B,S,C",3.0
337,1125,Cooproagro,Brasstown aka It's Chocolate,72.0,"5- B,S,C,V,L",3.0
338,1125,"Camino Verde, Guayas",Brasstown aka It's Chocolate,70.0,"5- B,S,C,V,L",3.25
339,1129,"Ghana, batch 021813",Brasstown aka It's Chocolate,75.0,"5- B,S,C,V,L",3.5
340,1129,"Chuao, Mantuano blend, batch 23613",Brasstown aka It's Chocolate,85.0,"5- B,S,C,V,L",3.5
341,1255,Maya Mountain,Brasstown aka It's Chocolate,70.0,"3- B,S,C",3.75
342,1355,Chuao,Brasstown aka It's Chocolate,70.0,"3- B,S,C",4.0
343,1462,"Conacado, batch 001515",Brasstown aka It's Chocolate,68.0,"3- B,S,C",3.75
344,1868,"Guasare, Zulia Prov.",Brasstown aka It's Chocolate,70.0,"3- B,S,C",3.5
345,1868,"O'payo, Waslala",Brasstown aka It's Chocolate,70.0,"3- B,S,C",3.75
346,1980,Elvesia P.,Brasstown aka It's Chocolate,70.0,"3- B,S,C",3.25
347,1984,Manabi,Brasstown aka It's Chocolate,75.0,"3- B,S,C",3.75
348,1514,Elvesia P.,Brazen,60.0,"3- B,S,C",3.0
349,1514,Elvesia P.,Brazen,80.0,"3- B,S,C",3.25
350,1514,"Alta Verapaz, 2014, batch 69",Brazen,70.0,"2- B,S",3.5
351,1518,Ambolikapiky P.,Brazen,80.0,"3- B,S,C",2.75
352,1518,Maya Mountain,Brazen,80.0,"3- B,S,C",3.25
353,1518,Ambolikapkly P.,Brazen,60.0,"3- B,S,C",3.25
354,1149,Jamaica,Breeze Mill,70.0,"4- B,S,C,V",3.0
355,1231,Somia Plantation,Bright,72.0,"3- B,S,C",3.0
356,1231,Marabel Farms,Bright,70.0,"3- B,S,C",3.5
357,1231,"Camino Verde, Balao, Guayas",Bright,72.0,"3- B,S,C",3.5
358,1235,Gran Couva,Bright,68.0,"3- B,S,C",2.75
